Date,Open,High,Low,Close,Adj Close,Volume,ADTV_2,ADTV_2_std,ADTV_5,ADTV_5_std,ADTV_10,ADTV_10_std,ADTV_20,ADTV_20_std,ADTV_50,ADTV_50_std,MFM,CMF
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000.0,5197250,1710137,4429700,1113211,4167100,1293041,5970025,4256982,12390879,11904510,-0.902912621359221,0.02534035680102659
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000.0,3721500,376887,4324500,1188521,4204600,1263102,5207825,3052139,12093016,11810682,-0.17647058823529668,-0.10245404139437257
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000.0,3312500,201525,4216600,1279332,4308150,1107384,4711000,2447582,11805177,11722238,0.6708860759493694,-0.04728582057336135
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000.0,2799500,523966,3889700,1515298,4192000,1243560,4210825,1692165,11512171,11650130,0.9259259259259256,-0.021645164954555436
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500.0,2334250,133996,3056300,724676,3800700,1171680,3866475,1292809,11231181,11579708,0.19354838709677777,-0.08946245222281869
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500.0,2623000,542350,2860000,510482,3644850,1162335,3703675,1174830,10989279,11489816,-0.6565656565656585,-0.03880164938171608
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000.0,2243250,1079398,2465000,673167,3394750,1337796,3538225,1244855,10717585,11433139,0.966666666666663,-0.024690202432599992
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500.0,3460250,2800496,2919100,1511469,3567850,1486744,3646850,1312956,10571000,11302896,0.6258992805755367,-0.006931348943606343
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500.0,4403000,1467246,3106400,1493471,3498050,1477243,3584575,1294223,10376256,11207583,-0.34210526315789763,-0.018585481595038526
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500.0,2941000,600333,3161800,1457990,3109050,1086860,3555475,1312146,10169421,11128375,0.8873239436619716,0.005802366251885226
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000.0,2342750,245719,2994300,1526777,2927150,1075570,3547125,1320818,9964282,11055449,-0.5522388059701466,0.005156681028645304
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000.0,2033500,191625,3077900,1431609,2771450,1103014,3488025,1368406,9762625,10987068,0.08108108108107784,0.004833484599325304
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000.0,2781000,1248750,2722600,762966,2820850,1133488,3564500,1331010,9613878,10890589,-0.10344827586206896,0.008213048126967515
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500.0,2334750,1879843,2250600,968202,2678500,1269403,3435250,1448662,9408916,10838658,-0.34782608695652656,0.007152788603790206
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500.0,1720500,1011162,2234400,963306,2698100,1263371,3249400,1313875,9246744,10761521,0.6129032258064464,-0.014332822232667712
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000.0,2304250,185615,2235200,963239,2614750,1268249,3129800,1296571,9085977,10688980,0.21875000000000347,-0.09971263664988744
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000.0,1695000,675994,2099000,1065551,2588450,1296801,2991600,1347378,8911111,10631728,-0.8400000000000007,-0.0935325351924933
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000.0,1329500,159099,1654600,619791,2188600,863879,2878225,1378823,8748739,10570456,0.7142857142856962,-0.050278938346421054
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000.0,1661500,310419,1829700,503287,2040150,760536,2769100,1366388,8602617,10502812,-0.8888888888888765,-0.031200760246588778
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000.0,1907000,36769,1729200,389348,1981800,742089,2545425,1074614,8463666,10434980,-0.29914529914530036,-0.011682578663684693
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000.0,1868500,91216,1655400,311357,1945300,740834,2436225,1030363,8327755,10369446,0.10000000000001111,0.05075588580311962
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000.0,2613500,1144805,2096600,765947,2097800,874853,2434625,1028721,8229660,10286503,0.9669421487603269,0.18382718518786356
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500.0,8422750,7070714,4492700,5037056,3073650,3699269,2947250,2666004,7676230,9165577,-0.9137931034482776,-0.033318102054213
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500.0,9707500,5253803,5315000,4835681,3572350,3725538,3125425,2747382,7282100,8790800,-0.434210526315788,-0.1046894221182568
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500.0,5365000,887419,5875900,4496048,3802550,3718601,3250325,2761730,6690160,7881460,0.5126050420168072,-0.0984278178081038
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000.0,4358750,535633,6311100,4090381,3983250,3674257,3299000,2765783,6077590,6780678,-0.7727272727272766,-0.14680818993109584
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500.0,3660250,452194,6294600,4105084,4195600,3556083,3392025,2732470,5373260,4908713,-0.8124999999999993,-0.15677865563890755
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000.0,2716750,882115,4028700,1464738,4260700,3505674,3224650,2702751,5010060,4434179,0.2631578947368421,-0.1679860437587042
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500.0,4082750,2813931,4044700,1491740,4679850,3439486,3360000,2776939,4911260,4351980,0.7534246575342493,-0.1499016629130924
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500.0,7959500,2668620,5066500,3035691,5471200,3641692,3726500,3122019,4840180,4238029,0.8888888888888911,-0.008749081226161479
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000.0,10412750,800798,6466300,3900053,6388700,3768683,4167000,3490478,4640240,3657269,-0.7755102040816344,-0.13356913683388957
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500.0,6983750,5650136,6395900,3973076,6345250,3808964,4221525,3461566,4326030,3049083,0.3181818181818131,-0.10741146883987869
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000.0,3103250,162281,6620900,3690268,5324800,2978681,4199225,3466779,4128260,2776446,0.5862068965517298,-0.08602713208476913
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000.0,2439000,1101672,5738400,4326895,4891550,3179112,4231950,3438014,3912810,2525522,-0.18518518518518032,-0.08720375518778983
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000.0,1613500,65760,4082500,3927535,4574500,3349701,4188525,3467260,3761620,2431562,-0.7021276595744721,-0.09534158786278306
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000.0,1136000,609526,2027700,1053201,4247000,3567313,4115125,3527194,3650470,2441909,-0.39999999999998226,-0.11830344572983484
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000.0,1022000,448305,1697800,927892,4046850,3678249,4121225,3522019,3581470,2457772,-0.8,-0.13797321281601443
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000.0,1097500,341532,1225400,425953,3923150,3770891,4091925,3547824,3533230,2487541,-0.460317460317461,-0.13102753016351268
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000.0,1038000,257386,1137400,352908,3437900,3775789,4058875,3572497,3465410,2503730,0.6799999999999986,-0.13379049977765542
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000.0,1405500,262336,1142200,360298,2612350,3052045,4041775,3584008,3435260,2517279,-0.265306122448987,-0.11915813705212434
2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000.0,1532500,82731,1296000,282813,1661850,822957,4025275,3595594,3418020,2527890,0.11111111111111267,-0.11080755715407223
2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500.0,1448750,35708,1312900,288493,1505350,678823,3925300,3640736,3384890,2543219,-0.10769230769230959,-0.11539521568154293
2010-10-18,4.104,4.128,4.044,4.046,4.046,814000.0,1118750,430981,1304500,305247,1264950,351835,3294875,2932386,3358480,2563246,-0.9523809523809368,-0.170692078870623
2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000.0,1020000,291327,1305700,304843,1221550,323300,3056550,2895059,3311190,2580631,-0.7560975609756145,-0.032788566965956965
2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500.0,1394250,237941,1300000,298373,1221100,322768,2897800,2885066,3219390,2559044,0.8769230769230767,0.028253575121826902
2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500.0,1824000,369816,1422300,465847,1359150,369363,2803075,2878758,3169800,2556460,0.20000000000000356,-0.003998082570461464
2010-10-22,4.136,4.186,4.11,4.144,4.144,805500.0,1445500,905096,1298700,541320,1305800,408999,2676325,2909494,3106290,2575271,-0.10526315789473746,0.04836925100877464
2010-10-25,4.188,4.196,4.146,4.17,4.17,592500.0,699000,150613,1254400,597093,1279450,447841,2601300,2944463,3043950,2597997,-0.03999999999999573,0.10053900565634968
2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500.0,1948500,1917673,1670100,1091347,1487900,779447,2462900,2835764,3028770,2594133,0.25000000000000244,0.10331383185461519
2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000.0,2212750,1543967,1581800,1119721,1440900,786676,2026625,2250918,2923060,2561165,-0.14814814814814053,0.01935649112687809
2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000.0,1262000,199404,1445300,1083996,1433800,786664,1547825,792229,2871360,2565316,0.9750000000000028,-0.15283849669047636
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000.0,1841000,619425,1740000,1066731,1519350,830705,1512350,738378,2847840,2565247,-0.861111111111108,0.004287449577306712
2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500.0,1945750,471286,1944000,872222,1599200,792887,1432075,621151,2816690,2570706,-0.5180722891566272,-0.05159473310864366
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000.0,1737750,177130,1655700,442465,1662900,785123,1442225,626705,2805370,2573692,-0.0895522388059703,-0.12119628295739387
2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000.0,5616500,5308250,3305500,3405819,2443650,2556937,1832375,1881378,2947980,2734242,0.7295597484276749,0.09018436030043288
2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000.0,7212500,3051165,4035900,3285279,2740600,2680183,2049875,1992358,2988950,2750436,0.15200000000000102,0.1274490565134967
2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500.0,3801250,1773070,4089600,3251402,2914800,2595716,2110300,1987985,3010300,2742616,0.9587628865979426,0.18462263710787324
2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000.0,3664750,1580030,4723500,2941968,3333750,2516122,2306600,2050464,2997130,2732270,-0.2926829268292656,0.164105366833336
2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500.0,10042250,7439116,7411400,5055429,4533550,4544016,3010725,3536877,3235870,3239539,0.7939189189189192,0.3296837929754991
2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500.0,12514500,3942827,7482700,5092337,5394100,4639786,3417500,3821388,3380070,3364907,-0.19774011299435354,0.2502257584323032
2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500.0,11686000,2771151,9200800,5501242,6618350,5065322,4026075,4418172,3609600,3659166,0.4567901234567912,0.29460484344823445
2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000.0,10191750,4884340,10038900,4453694,7064250,4831763,4291800,4413219,3706400,3676939,-0.16107382550335583,0.2625178717152896
2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000.0,5244000,2112835,9832500,4770844,7278000,4605784,4438600,4339664,3708120,3676939,-0.17757009345794722,0.24997868390678246
2010-11-18,6.134,6.148,5.784,5.978,5.978,4780500.0,4265250,728673,7728100,4015692,7569750,4307401,4616325,4273452,3783620,3659026,0.06593406593406602,0.25103579566456163
2010-11-19,6.032,6.274,5.94,6.198,6.198,5752500.0,5266500,687307,6933300,3913246,7208000,4291286,4825825,4218210,3849960,3664151,0.5449101796407203,0.2808613229340455
2010-11-22,6.314,6.69,6.3,6.68,6.68,7648500.0,6700500,1340674,5733900,1542650,7467350,4224560,5103975,4211410,3959470,3694704,0.9487179487179453,0.3209588116461877
2010-11-23,6.658,7.136,6.438,6.914,6.914,7889000.0,7768750,170059,5964100,1795157,8001500,3854894,5458150,4127916,4092910,3714068,0.363896848137535,0.3263330576490736
2010-11-24,7.054,7.194,6.866,7.094,7.094,7125000.0,7507000,540229,6639100,1328315,8235800,3705791,5784775,3978391,4206570,3718243,0.3902439024390271,0.3332384607925532
2010-11-26,7.12,7.2,6.95,7.064,7.064,1753000.0,4439000,3798577,6033600,2532001,6880850,3288457,5707200,4043887,4204010,3719920,-0.08800000000000097,0.3288340858218234
2010-11-29,7.082,7.19,6.666,6.866,6.866,5728000.0,3740500,2810749,6028700,2532704,6481000,3143920,5937550,3897458,4279910,3711344,-0.23664122137404855,0.30398645398937085
2010-12-01,7.174,7.284,6.69,6.87,6.87,6496000.0,6112000,543058,5798200,2397255,5766050,1900782,6192200,3749148,4373750,3706779,-0.3939393939393943,0.27183491807115245
2010-12-02,6.802,6.86,6.24,6.47,6.47,10035000.0,8265500,2502450,6227400,2985184,6095750,2326394,6580000,3724120,4505990,3789194,-0.25806451612903386,0.22474701457512208
2010-12-03,6.402,6.45,6.174,6.298,6.298,5800500.0,7917750,2994243,5962500,2944104,6300800,2182586,6789400,3543467,4353550,3570147,-0.10144927536232061,0.2289869488450613
2010-12-06,6.27,6.29,5.912,6.062,6.062,6372000.0,6086250,404111,6886300,1792468,6459950,2116433,7014850,3351788,4361140,3574103,-0.2063492063492047,0.2179477749591571
2010-12-07,6.098,6.48,6.01,6.312,6.312,6556500.0,6464250,130461,7052000,1694225,6540350,2101793,6874175,3306475,4397520,3587246,0.28510638297872376,0.2248471538580238
2010-12-08,6.496,6.498,6.304,6.474,6.474,3300000.0,4928250,2302693,6412800,2408686,6105500,2288588,6786425,3379770,4383920,3590149,0.7525773195876286,0.20362557985105612
2010-12-09,6.502,6.544,6.33,6.41,6.41,2030000.0,2665000,898025,4811800,2029758,5519600,2519585,6760550,3415721,4357710,3602684,-0.25233644859812854,0.19880093664134663
2010-12-10,6.41,6.584,6.226,6.304,6.304,2147000.0,2088500,82731,4081100,2232358,5021800,2655264,6628800,3544446,4358790,3601999,-0.5642458100558638,0.17277941308484945
2010-12-13,6.328,6.354,6.08,6.11,6.11,2052000.0,2099500,67175,3217100,1941020,5051700,2615755,5966275,3040378,4278380,3607833,-0.7810218978102171,0.1747748421153084
2010-12-14,6.058,6.078,5.552,5.706,5.706,8828500.0,5440250,4791709,3671500,2931469,5361750,2875666,5921375,2988106,4258020,3578523,-0.4144486692015186,0.060253157228782314
2010-12-15,5.734,5.994,5.706,5.92,5.92,3714500.0,6271500,3616144,3754400,2924189,5083600,2888258,5424825,2405298,4112730,3445061,0.48611111111111105,0.09374876817768803
2010-12-16,6.0,6.182,5.93,6.162,6.162,3950500.0,3832500,166877,4138500,2762732,4475150,2312857,5285450,2405962,4131970,3441339,0.8412698412698381,0.07595550722621341
2010-12-17,6.268,6.308,6.142,6.272,6.272,4065000.0,4007750,80963,4522100,2541375,4301600,2267016,5301200,2396394,4148910,3438832,0.5662650602409675,0.10866099283242996
2010-12-20,6.328,6.438,6.252,6.34,6.34,2617000.0,3341000,1023890,4635100,2413427,3926100,2195844,5193025,2468871,4168050,3427340,-0.053763440860213924,0.11462837007136613
2010-12-21,6.36,6.538,6.342,6.452,6.452,3888500.0,3252750,899086,3647100,589621,3659300,1993494,5099825,2481788,4214480,3407049,0.12244897959183645,0.11707102439807647
2010-12-22,6.45,6.572,6.34,6.526,6.526,4166500.0,4027500,196575,3737500,635410,3745950,1994972,4925725,2414815,4283710,3369241,0.6034482758620671,0.11297681151497603
2010-12-23,6.252,6.496,5.984,6.018,6.018,7763000.0,5964750,2543109,4500000,1927902,4319250,2254001,4919425,2406829,4412190,3377133,-0.8671875000000009,-0.018764917808612478
2010-12-27,5.604,5.716,5.012,5.11,5.11,46509500.0,27136250,27397912,12988900,18835929,8755500,13433871,6888650,9617354,5325260,6816394,-0.7215909090909072,-0.2651927781868995
2010-12-28,5.17,5.35,5.0,5.282,5.282,20281500.0,33395500,18545996,16521800,18044166,10578450,13658129,7815075,9982101,5706490,7108873,0.6114285714285732,-0.182251706893349
2010-12-30,5.54,5.58,5.276,5.3,5.3,10205500.0,15243500,7124807,17785200,17136818,10716150,13645461,8038950,9983039,5878780,7111484,-0.8421052631578947,-0.22368755469939836
2010-12-31,5.314,5.45,5.3,5.326,5.326,7089500.0,8647500,2203344,18369800,16597458,11053650,13493940,8068625,9979093,5991090,7084793,-0.6533333333333368,-0.2413905492749912
2011-01-03,5.368,5.4,5.18,5.324,5.324,6415000.0,6752250,476943,18100200,16822247,11300100,13371748,7887625,9974378,6090920,7054220,0.3090909090909065,-0.21443802986587435
2011-01-04,5.332,5.39,5.204,5.334,5.334,5937000.0,6176000,337997,9985700,5991278,11487300,13271936,7894450,9972922,6193380,7013095,0.39784946236559066,-0.1895559046774596
2011-01-05,5.296,5.38,5.238,5.366,5.366,7233500.0,6585250,916763,7376100,1666035,11948950,13006750,7937525,9967859,6313530,6977627,0.8028169014084466,-0.14917820818255464
2011-01-06,5.366,5.6,5.362,5.576,5.576,10306000.0,8769750,2172585,7396200,1708763,12590700,12720019,8125000,9975775,6488400,6965682,0.7983193277310918,-0.08926212565722182
2011-01-07,5.6,5.716,5.58,5.648,5.648,11239500.0,10772750,660084,8226200,2393317,13298000,12391959,8521975,9931537,6671480,6967895,-6.530723674265621e-15,-0.09761535256041486
2011-01-10,5.634,5.736,5.61,5.69,5.69,6713500.0,8976500,3200365,8285900,2339971,13193050,12448360,8756150,9825052,6789640,6916294,0.26984126984127654,-0.09952734831320927
2011-01-11,5.718,5.742,5.384,5.392,5.392,8551000.0,7632250,1299308,8808700,1942178,9397200,4244384,9076350,9701904,6948810,6862129,-0.9553072625698323,-0.1376795722165924
2011-01-12,5.402,5.48,5.304,5.392,5.392,4822000.0,6686500,2636801,8326400,2614272,7851250,2126500,9214850,9615739,6979160,6849025,0.0,-0.1292023139009088
2011-01-13,5.392,5.394,5.232,5.244,5.244,3618000.0,4220000,851356,6988800,3026632,7192500,2327049,8954325,9697000,7029100,6814455,-0.8518518518518571,-0.13599800472987206
2011-01-14,5.23,5.316,5.122,5.15,5.15,5960000.0,4789000,1656044,5932900,1874658,7079550,2359786,9066600,9646004,7120240,6767988,-0.7113402061855622,-0.1412439176727701
2011-01-18,5.096,5.128,4.95,5.128,5.128,8108500.0,7034250,1519218,6211900,2109032,7248900,2367550,9274500,9574477,7236830,6733009,1.0,-0.1046970016118859
2011-01-19,5.054,5.094,4.75,4.806,4.806,11857500.0,9983000,2650943,6873200,3240636,7840950,2717444,9664125,9509658,7441730,6714218,-0.6744186046511628,-0.1578647180554308
2011-01-20,4.806,4.89,4.474,4.524,4.524,11399500.0,11628500,323854,8188700,3522575,8257550,2925353,10103250,9368849,7632460,6687909,-0.7596153846153851,-0.20575971748002633
2011-01-21,4.624,4.718,4.542,4.608,4.608,6085000.0,8742250,3757918,8682100,2826269,7835450,2901367,10213075,9304818,7566760,6686626,-0.2500000000000025,-0.2089640238698803
2011-01-24,4.706,4.962,4.646,4.898,4.898,8225500.0,7155250,1513562,9135200,2435331,7534050,2654504,10416025,9209774,7630170,6677348,0.5949367088607589,-0.18390938046527208
2011-01-25,4.93,4.978,4.804,4.936,4.936,6357500.0,7291500,1320875,8785000,2728170,7498450,2669079,10345750,9236407,7706370,6639796,0.5172413793103455,-0.17842656303551388
2011-01-26,4.942,4.976,4.82,4.95,4.95,5399500.0,5878500,677408,7493400,2421356,7183300,2716623,8290250,3649515,7718720,6634818,0.6666666666666685,-0.13175084353716476
2011-01-27,4.948,5.016,4.906,4.984,4.984,4478500.0,4939000,651245,6109200,1387787,7148950,2751742,7500100,2420449,7502240,6558468,0.4181818181818194,0.043815432434260844
2011-01-31,4.81,4.824,4.7,4.82,4.82,4151500.0,4315000,231223,5722500,1642265,7202300,2679913,7197400,2442758,7390740,6567266,0.9354838709677489,-0.006850198614929546
2011-02-01,4.862,4.946,4.708,4.782,4.782,3539000.0,3845250,433102,4785200,1106587,6960200,2904551,7019875,2576373,7188610,6526229,-0.3781512605042018,0.0420365582054485
2011-02-03,4.764,4.78,4.63,4.726,4.726,2560000.0,3049500,692257,4025700,1059874,6405350,3177915,6827125,2761558,7105050,6558782,0.2799999999999981,0.08078241803832376
2011-02-07,4.652,4.652,4.576,4.614,4.614,4475500.0,3517750,1354463,3840900,812030,5667150,2569940,6754050,2805341,7119560,6552007,0.0,0.06783271883657052
2011-02-08,4.756,5.05,4.6,4.898,4.898,17524500.0,11000000,9227036,6450100,6233625,6279650,4261281,7268600,3699262,7374440,6705243,0.3244444444444441,0.08446175762667567
2011-02-09,4.826,4.836,4.558,4.642,4.642,13178000.0,15351250,3073439,8255400,6691746,6988950,4783594,7412200,3874947,7522950,6750664,-0.39568345323740733,0.011780738886137487
2011-02-10,4.652,4.728,4.562,4.644,4.644,4180500.0,8679250,6362193,8383700,6583994,6584450,4838125,7059250,3829204,7453590,6767144,-0.012048192771083047,-0.04205367451478632
2011-02-11,4.65,4.75,4.588,4.65,4.65,3172500.0,3676500,712763,8506200,6452945,6265950,4958074,6882200,3926654,7359260,6793771,-0.2345679012345641,-0.04955874809237918
2011-02-14,4.728,4.828,4.61,4.616,4.616,6415500.0,4794000,2293147,8894200,6203502,6367550,4948748,6775425,3907877,7345070,6795011,-0.9449541284403731,-0.10431876796625181
2011-02-15,4.602,4.634,4.512,4.568,4.568,4768500.0,5592000,1164604,6343000,3997812,6396550,4937284,6772750,3909302,7405380,6757645,-0.08196721311475912,-0.05168443727294813
2011-02-16,4.62,4.994,4.614,4.946,4.946,20575500.0,12672000,11177236,7822500,7225514,8038950,6569446,7620625,4901964,7702330,7004156,0.7473684210526312,0.05208815673878549
2011-02-17,4.926,5.098,4.71,4.72,4.72,13092000.0,16833750,5291633,9604800,7201609,8994250,6536873,7977225,5032478,7834250,7042980,-0.9484536082474238,-0.007297768333454278
2011-02-18,4.666,4.698,4.592,4.636,4.636,11853500.0,12472750,875751,11341000,6246257,9923600,6170856,8164475,5106744,7870620,7059253,-0.1698113207547138,0.00594473470609789
2011-02-22,4.576,4.6,4.356,4.374,4.374,10323000.0,11088250,1082226,12122500,5696161,10508350,5866795,8087750,5059649,7961070,7061161,-0.8524590163934441,-0.0915228960303766
2011-02-23,4.436,4.5,4.222,4.366,4.366,8028000.0,9175500,1622810,12774400,4752466,9558700,5350815,7919175,4999308,7994190,7057438,0.035971223021578826,-0.04478553921184901
2011-02-24,4.356,4.516,4.3,4.506,4.506,5276500.0,6652250,1945604,9714600,3118221,8768550,5340365,7878750,5018153,7968590,7065077,0.9074074074074094,0.03570418891667432
